Algorithm Obj, Time iter
SJC4a:
Farthest	103171	0,056	0
Density	65655,4	6,396	10
HMeans	75805,6	0,039	7
HMeans	69572,4	0,044	15
HMeans	77836,3	0,056	17
HMeans	75391,3	0,016	5
HMeans	66763,9	0,021	7
HMeans	66763,9	0,021	11
HMeans	91867,8	0,028	8
HMeans	72448,7	2,914	1001
HMeans	68304,3	0,014	5
HMeans	74172,1	0,018	6
JMeans	70432,8	66,618	17
JMeans	68832	68,799	18
JMeans	67595,4	74,55	19
JMeans	70524,2	75,939	20
JMeans	68928	77,841	19
JMeans	69349,3	130,606	32
JMeans	69865,8	97,934	24
JMeans	68755,4	77,642	21
JMeans	69934	68,663	17
