Algorithm Obj, Time iter
SJC4b:
Farthest	92948,9	0,054	0
Density	54077,1	6,254	10
HMeans	74654	0,028	8
HMeans	57339,8	0,013	4
HMeans	59476,3	0,015	5
HMeans	71340,4	0,021	6
HMeans	58957,5	0,022	7
HMeans	60120,9	0,019	6
HMeans	61288,2	0,019	6
HMeans	59723,5	0,021	7
HMeans	57092,1	2,981	1001
HMeans	64583,1	0,017	5
JMeans	55804,7	193,673	33
JMeans	56385,4	132,915	26
JMeans	57086,3	136,343	23
JMeans	56668,1	122,226	23
JMeans	56854,9	178,767	31
JMeans	57435,5	150,647	27
JMeans	57035,9	159,175	27
JMeans	55412,2	199,509	33
