
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 22608.7, 8.203, 2,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, JMeans, 28657, 218.801, 6,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 26031.6, 295.387, 6,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 25143.5, 7.389, 2,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, JMeans, 24474, 96.634, 4,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 21070.3, 311.115, 4,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 24029.4, 6.525, 2,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, JMeans, 18276.7, 269.677, 11,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 17600.3, 289.414, 11,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 17973.8, 14.7, 2,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 21078.6, 416.662, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 20515.2, 256.354, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 21078.6, 2.466, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 20000.9, 215.51, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 19826.9, 139.812, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Shift, 20000.9, 6.483, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Randon Density, 20069.9, 265.193, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.1, Hill Climb with Interchange, 19896.8, 119.107, 0,
