
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 17866.6, 1.147, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, JMeans, 7010.96, 3.497, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6500.97, 13.134, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 7010.96, 0.364, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, JMeans, 7002.64, 1.07, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6540.03, 13.83, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 7002.64, 0.37, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, JMeans, 6994.57, 1.731, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6530.24, 11.581, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6990.85, 0.716, 2,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, JMeans, 7110.3, 2.573, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6557.52, 15.762, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 7036.93, 0.717, 2,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6740.03, 4.175, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6486.87, 0.598, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6740.03, 0.444, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6488.78, 2.164, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6340.11, 1.823, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6488.78, 0.402, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6458, 2.364, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6298.2, 1.113, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6456.89, 1.048, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6486.92, 3.264, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6343.84, 1.996, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6486.92, 0.402, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6562.48, 2.848, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6340.47, 2.888, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6562.48, 0.189, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6723.89, 1.627, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6486.92, 2.653, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6723.89, 0.467, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6497.09, 2.906, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6341.22, 0.784, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6496.8, 0.79, 2,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6468.38, 2.079, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6304.23, 1.665, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6468.38, 0.414, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6716.83, 6.858, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6466.14, 1.733, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6698.19, 1.024, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Randon Density, 6458.45, 2.585, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Interchange, 6306.7, 0.795, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.1, Hill Climb with Shift, 6452.14, 1.362, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Farthest, 9889.63, 0.008, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 7015.9, 19.599, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 9889.63, 0.259, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Density, 6173.64, 1.786, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6172.04, 0.439, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6173.64, 0.791, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 6196.42, 0.012, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 5807.29, 3.83, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6194.09, 0.911, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 6344.93, 0.01, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6263.55, 5.149, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6341.28, 2.328, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 6247.99, 0.014, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6172.92, 5.44, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6247.99, 0.423, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 5953.62, 0.013, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 5874.86, 5.453, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 5953.62, 0.434, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 6249.19, 0.013, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6145.93, 4.86, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6249.19, 0.391, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 7170.79, 0.009, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6802.76, 3.306, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 7170.79, 0.28, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 6125.84, 0.015, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6068.94, 1.952, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6125.84, 0.391, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 6674.87, 0.02, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6235.76, 4.998, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6674.87, 0.265, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 5900.12, 0.013, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 5812.89, 3.861, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 5887.72, 1.458, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, HMeans, 6316.69, 0.015, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6188.4, 6.43, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6316.69, 0.369, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 6522.02, 4.212, 11,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6298.76, 10.509, 11,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6522.02, 0.528, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 6567.07, 3.061, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6277.15, 12.716, 10,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6567.07, 0.563, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 6553.16, 1.676, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6363.3, 8.892, 7,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6553.16, 0.604, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 6331.22, 2.532, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6231.49, 5.138, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6331.22, 0.655, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 6707.97, 0.514, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6576.03, 6.722, 4,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6007.75, 1.486, 3,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 6585.7, 1.432, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6311.34, 7.729, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6545.03, 1.157, 2,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 6425.77, 3.525, 13,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6224.95, 8.401, 13,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6425.77, 0.633, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 6359.22, 1.375, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6279.66, 4.202, 9,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6359.22, 0.678, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 8361.72, 1.201, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 7925.16, 5.98, 5,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 8280.6, 1.043, 2,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, JMeans, 6607.54, 1.568, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6271.94, 8.681, 6,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6512.26, 1.196, 2,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 6110.44, 1.563, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6109.81, 0.902, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6110.44, 0.752, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 6241.67, 2.476, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6229, 0.603, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6241.67, 0.394, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 6146.75, 2.633, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6146.75, 0.237, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6146.75, 0.885, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 6147.84, 2.227, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6147.84, 0.216, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6146.59, 1.362, 2,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 6167.55, 2.553, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 6167.55, 0.22, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Shift, 6167.55, 0.71, 1,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Randon Density, 5843.13, 2.775, 0,
/home/wagner/src/CCP/instances/AES/Cacapava_10.dat, 1.2, Hill Climb with Interchange, 5843.13, 0.202, 0,
