
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 11880.6, 1.919, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, HMeans, 10527.9, 0.028, 4,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 9610.25, 82.223, 4,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 10527.9, 1.163, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, HMeans, 19432.5, 0.033, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 18940.3, 69.692, 6,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 19432.5, 2.459, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 11194.4, 27.347, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 10213.1, 63.757, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 11194.4, 1.929, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 11194.3, 30.995, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 10213, 64, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 11194.3, 1.931, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 10999.3, 57.173, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 9936.08, 70.017, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 10999.3, 1.93, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 10486.4, 59.984, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 9545.57, 69.844, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 10486.4, 1.839, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 11194.4, 28.345, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 10213.1, 61.269, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 11194.4, 1.838, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 10939.8, 45.983, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 9863.66, 69.205, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 10939.8, 1.819, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 10569.3, 41.259, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 9604.29, 67.418, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 10569.3, 2.001, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 10388.8, 43.842, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 9528.6, 57.786, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 10388.8, 1.826, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 10083.6, 38.421, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 9574.76, 49.155, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 10083.6, 1.219, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Randon Density, 10623.3, 42.866, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Interchange, 10230.5, 42.428, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.10088, Hill Climb with Shift, 10623.3, 1.47, 1,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Farthest, 32398, 0.035, 0,
/home/wagner/src/CCP/instances/AES/Lajeado.dat, 1.1, Hill Climb with Interchange, 26971.6, 80.42, 0,
